index,wardcode,ward,Local_Authority_D,pop_density_sqrkilometer,Pborn_Europe,total_population,Ptotal_populationF,Ptotal_populationM,PEconomicallyInactive,Pwhite,Pother_ethnic,Phousehold_notdeprived,Phousehold_deprived1D,PhouseOwned,PhouseSocialRented,PhousePrivateRented,P0to15_age,P16to49_age,P50over_age,Pborn_outsideEurope,Pinemployment,Punemployment,Phousehold_D2ormore,Presi_0toL1quali,Presi_L2toApprequali,Presi_L3toL4quali,PL1toL9_NS,PL10toL11_7_NS,PL12to13NS,PL14to15NS,air_score_ward,GP_unique_name_count,PH_unique_name_count,Uni_score_ward,PriS_unique_name_count,small_communities,rural_communites,majorityL3L4q,majorityP16to49_age,dnone50,GP_above1,VeryGoodhealth,PH_above1,point,ball
3610,E05000651,Bradshaw,Bolton,1244.2,97.7,11538,51.7,48.3,46.0,93.6,6.4,50.5,33.6,79.1,13.4,7.6,18.1,34.8,47.0,2.2,51.0,3.0,15.9,26.7,23.0,50.4,47.0,19.3,20.6,13.1,0,1.0,2.0,1,4.0,0,0,1,0,1,1,0,1,830,15
3653,E05000664,Little Lever and Darcy Lever,Bolton,2488.1,96.8,12834,51.1,48.9,42.1,93.4,6.5,44.0,35.7,73.4,13.7,12.8,17.700000000000003,38.599999999999994,43.7,3.1999999999999997,54.8,3.2,20.299999999999997,32.3,26.4,41.3,36.1,21.9,27.7,14.2,0,3.0,2.0,1,5.0,0,0,0,0,0,1,0,1,843,15
3687,E05014154,Bury West,Bury,3093.1,95.2,10950,51.2,48.8,43.6,89.6,10.4,51.5,33.6,78.99999999999999,9.5,11.6,17.5,36.900000000000006,45.5,4.9,53.9,2.5,15.0,25.9,23.5,50.599999999999994,46.4,19.8,20.0,13.7,0,2.0,1.0,0,4.0,0,0,1,0,1,1,0,1,851,15
3723,E05014161,Radcliffe North & Ainsworth,Bury,1545.1,96.8,12020,51.3,48.7,41.7,93.7,6.4,44.7,33.9,69.7,18.0,12.2,17.0,38.4,44.7,3.1999999999999997,55.599999999999994,2.6999999999999997,21.500000000000004,30.5,25.1,44.4,40.3,20.2,25.5,14.2,0,0.0,1.0,0,4.0,0,0,0,0,0,0,0,1,858,15
3911,E05000724,Crompton (Oldham),,2124.2,97.8,10322,51.1,48.9,43.5,94.2,5.7,46.3,36.2,76.6,10.1,13.2,16.7,35.300000000000004,48.099999999999994,2.3000000000000003,54.2,2.4,17.5,30.0,25.5,44.4,40.8,20.5,26.5,12.2,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,903,15
3918,E05000725,Failsworth East,Oldham,2284.3,97.3,10370,51.5,48.5,39.1,94.1,5.8999999999999995,43.6,34.6,65.69999999999999,15.5,18.8,16.1,39.900000000000006,44.1,2.6,57.5,3.3,21.8,32.9,25.4,41.599999999999994,37.2,21.9,26.799999999999997,14.1,0,0.0,0.0,0,3.0,0,0,0,0,0,0,0,0,904,15
3937,E05000729,Royton North,Oldham,1996.4,97.7,10042,51.3,48.7,41.9,94.3,5.7,48.1,33.5,72.3,16.4,11.3,17.3,36.5,46.099999999999994,2.2,55.2,2.6999999999999997,18.3,30.2,24.6,45.3,41.7,20.9,25.299999999999997,12.1,0,2.0,3.0,0,5.0,0,0,0,0,0,1,0,1,908,15
3943,E05000730,Royton South,Oldham,2719.7,95.6,10932,51.2,48.8,40.3,88.7,11.3,47.0,34.6,72.1,12.2,15.7,17.7,39.5,42.8,4.3,56.6,3.1999999999999997,18.4,30.9,25.3,43.900000000000006,38.599999999999994,21.2,26.7,13.5,0,3.0,1.0,0,2.0,0,0,0,0,0,1,0,1,909,15
3966,E05000736,Shaw (Oldham),,1375.5,96.6,10045,52.1,47.9,40.5,91.4,8.6,43.2,35.3,62.7,17.9,19.5,18.0,39.900000000000006,42.2,3.3999999999999995,55.6,3.9,21.4,31.4,24.9,43.8,38.099999999999994,18.8,28.4,14.7,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,915,15
3990,E05014035,Castleton,Rochdale,1308.4,91.8,10458,51.0,49.0,42.6,79.0,21.0,41.1,36.9,62.8,16.6,20.7,20.299999999999997,41.3,38.2,8.2,54.0,3.5,21.9,34.0,23.5,42.4,34.300000000000004,19.0,28.5,18.1,0,1.0,1.0,0,4.0,0,0,0,0,0,1,0,1,920,15
